article_factor,article_id,article,authors,published_journal,NOTES__RHS_VARIABLES__ETC_
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 2 (Division-specific time controls)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (2,5))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (6,4)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (4,1): IDing factor models as QEs"
25,Neumark and Wascher (2011),"Does a Higher Minimum Wage Enhance the Effectiveness of The Earned Income Tax Credit?","Neumark & Wascher","Industrial and Labor Relations Review","Table 2a, col 6: MW"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel B (DDD), Col 1 Row 1 (Immediate)"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel B (DDD), Col 3 Row 1 (Immediate)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (2,6))"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 8 Col. 3 Row 2"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (1,12): Cash Wage, DD (FS-LS) Restaurants, 1994:1-2007:3, State Trends"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, CPS, State-specific linear time trends"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 3, County Trends"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (5,4)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (7,5)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (5,3): IDing factor models as QEs"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel A (DD), Col 2 Row 1 (Immediate)"
19,Sabia (2009a),"Identifying Minimum Wage Effects: New Evidence from Monthly CPS Data","Sabia","Industrial Relations","Table 4 (1,3)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 4 (Both sets of time controls: 1999-2006)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 2, Basic"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 2 (Division-specific time controls: 1990-2009)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 2 (Division-specific time controls)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 2 (Division-specific time controls)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (3,5))"
5,Zavodny (2000),"The effect of the minimum wage on employment and hours","Zavodny","Labour Economics","Table 1"
18,Neumark and Nizalova (2007),"MW Effects in the LR","Neumark & Nizalova","Journal of Human Resources","Table 2 (2,2) 20-24"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","Border County Pairs, County-pair X period dummies & Total private sector"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 3 (State specific time trends: 1990-2009)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 3 (State specific time trends)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,6): MW, 1990:1-2011:4, State Trends"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (1,6)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Immigrants, Women, Employed Individuals"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (3,2))"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (5,1)"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel B (DDD), Col 5 Row 1 (Immediate)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 4 (Both sets of time controls)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (7,3)"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, Census/ACS, Commuting Zone (CZ) specific time effects"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 3, Basic"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (3,8))"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (3,7))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (3,4): IDing factor models as QEs"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 3 (State specific time trends: 1987-2006)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 3 (State specific time trends)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 1 (Canonical)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (1,4): Cash Wage, 1994:1-2007:3, State Trends"
3,Hyslop et al. (2007),"Youth MW reform and the labour market in New Zealand","Hyslop,D.; Stillman,S.","Labour Economics","Employment rate, 16-17"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Natives, Women, Employed Individuals"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (2,1))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (3,5): IDing factor models as QEs"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Immigrants, Both sexes, Relative Minwage"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","All-County, Census Division x period Dummies"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 4 (Both sets of time controls: 1987-2006)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (1,2)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (5,4)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 2 (Division-specific time controls)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (2,5): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (7,1)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (4,2): IDing factor models as QEs"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 7, CPS, Both Division-specific time effects and state-specific linear time trends"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (3,3): IDing factor models as QEs"
42,Allegretto and Reich (2015),"Are Local Minimum Wages Absorbed by Price Increases? Estimates from Internet-based Restaurant Menus","Allegretto & Reich","Institute for Research on Labor and Employment, Working Paper Series","Table 1 (2,2)"
42,Allegretto and Reich (2015),"Are Local Minimum Wages Absorbed by Price Increases? Estimates from Internet-based Restaurant Menus","Allegretto & Reich","Institute for Research on Labor and Employment, Working Paper Series","Table 1 (4,2)"
3,Hyslop et al. (2007),"Youth MW reform and the labour market in New Zealand","Hyslop,D.; Stillman,S.","Labour Economics","Conditional Hours Worked, 18-19"
15,Addison et al. (2009),"Do MWs raise employment? Evidence from the U.S. retail-trade sector","Addison, Blackburn & Cotti","Labour Economics","Table 5, Panel B (1,5): Sample of states that change their minimum"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","All-County, Census Division x period Dummies, Total Pvt Sector"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 2, County Trends"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (2,4))"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (3,6))"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel B (DDD), Col 2 Row 1 (Immediate)"
27,Dube et al. (2014),"MW Shocks, Employment Flows & Labor Market Frictions","Dube,A.; Lester.T.; Reich,M.","Journal of Labor Economics","Table 3"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (2,5))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (1,3)"
3,Hyslop et al. (2007),"Youth MW reform and the labour market in New Zealand","Hyslop,D.; Stillman,S.","Labour Economics","Employment rate, 18-19"
5,Zavodny (2000),"The effect of the minimum wage on employment and hours","Zavodny","Labour Economics","Table 1"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 4 (Both sets of time controls)"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel A (DD), Col 5 Row 2 (Medium Term)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 3 (State specific time trends: 1990-2006)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 3 (State specific time trends)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (2,6): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (5,5)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 5 (8,2) - Country 2-stage"
18,Neumark and Nizalova (2007),"MW Effects in the LR","Neumark & Nizalova","Journal of Human Resources","Table 2 (2,3) 20-24"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","Border County Pairs, County-pair X period dummies"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 4 (Both sets of time controls: 1990-2006)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (6,5)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (7,6)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (3,5): IDing factor models as QEs"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (3,5)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 4 (Both sets of time controls)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 3, Border County"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 3 (State specific time trends)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (4,5))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (4,3): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (5,3)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 3 (State specific time trends)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 1, Basic"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (2,3): IDing factor models as QEs"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (2,3): MW, 1994:1-2007:3, No State Trends"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Conditional Hrs"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 3, Row 3 (CPS, Basic)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (3,1))"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (5,3)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (2,4))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (3,1): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (5,6)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Natives, Both sexes, Employed Individuals"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Conditional Hrs"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19), Conditional Hrs"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (2,3))"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel A, (3,8))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (3,6): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (6,6)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (8,3)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 3 (State specific time trends)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 3 (State specific time trends)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 1, County Trends"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (1,2))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (6,1)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 2 (Division-specific time controls)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (7,2)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (1,3)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (2,2)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 5 (2,2) - No State Cycles"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 5 (3,2) - No Cycles/Rec."
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenagers, Employed Individuals"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (3,7))"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (3,7))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (6,3)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (8,6)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (5,2)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 3 (State specific time trends)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (4,2): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (8,2)"
42,Allegretto and Reich (2015),"Are Local Minimum Wages Absorbed by Price Increases? Estimates from Internet-based Restaurant Menus","Allegretto & Reich","Institute for Research on Labor and Employment, Working Paper Series","Table 1 (1,2)"
34,Hoffman (2014),"Employment Effects of the 2009 Minimum Wage Increase: New Evidence from State-Based Comparisons of Workers by Skill Level","Hoffman","The B.E. Journal of Economic Analysis & Policy","Table 6, 16-19, Not in College, Demog Traits (DIDID)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Natives, Men, Relative Minwage"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (3,3))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (8,1)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Immigrants, Both sexes, Employed Individuals"
26,Addison et al. (2012),"The Effect of MWs on Labor Market Outcomes -  County-Level Estimates from the Restaurant & Bar Sector","Addison, Blackburn & Cotti","British Journal of Industrial Relations","County Level Trends (Table 3)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (4,1): IDing factor models as QEs"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (4,4): IDing factor models as QEs"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 3, Model 12"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 3 (State specific time trends)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel B, (3,2))"
